GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo
RotateLeft90, MoveForward, MoveForward, GetBattleInfo, MoveForward, RotateLeft45, Shoot, MoveForward, MoveForward, Shoot, Shoot, MoveForward (killed), MoveForward, Shoot, Shoot, MoveForward, MoveForward, Shoot, Shoot, MoveForward, MoveForward, Shoot
Shoot, MoveForward, MoveForward, Shoot, MoveForward, GetBattleInfo, RotateRight90, MoveForward, MoveForward, RotateLeft45, RotateRight90, killed, MoveForward, RotateLeft90, RotateLeft90, MoveForward, MoveForward, RotateLeft45, RotateLeft45, MoveForward, MoveForward, RotateRight90
RotateLeft45, MoveForward, MoveForward, MoveForward, MoveForward, Shoot, GetBattleInfo, MoveForward (killed), MoveForward, MoveForward, MoveForward, killed, MoveForward, RotateLeft45, RotateLeft45, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, RotateRight45
MoveForward, MoveForward, MoveForward, RotateRight45, MoveForward, MoveForward, MoveForward, killed, MoveForward, GetBattleInfo, MoveForward, killed, MoveForward, MoveForward, MoveForward, MoveForward (killed), MoveForward, MoveForward, RotateLeft90, MoveForward, MoveForward, MoveForward
RotateRight45 (killed), MoveForward, MoveForward (killed), MoveForward (killed), MoveForward, RotateRight90, RotateLeft90, killed, MoveForward (killed), MoveForward, GetBattleInfo (killed), killed, MoveForward, RotateRight45, RotateLeft90, killed, MoveForward (killed), RotateRight45, RotateRight90, killed, MoveForward, MoveForward
killed, MoveForward, killed, killed, MoveForward, RotateRight45, MoveForward, killed, killed, Shoot, killed, killed, MoveForward, GetBattleInfo, RotateRight90, killed, killed, Shoot, Shoot, killed, killed, Shoot
killed, MoveForward, killed, killed, MoveForward, GetBattleInfo, RotateRight45, killed, killed, RotateRight90, killed, killed, MoveForward, RotateRight45, GetBattleInfo, killed, killed, RotateLeft90, GetBattleInfo, killed, killed, RotateRight45
killed, MoveForward, killed, killed, MoveForward, RotateLeft90, Shoot, killed, killed, RotateRight45, killed, killed, MoveForward, GetBattleInfo, RotateRight90, killed, killed, GetBattleInfo, RotateRight45, killed, killed, RotateLeft90
killed, MoveForward (ignored), killed, killed, MoveForward (killed), GetBattleInfo, RotateLeft90, killed, killed, MoveForward, killed, killed, MoveForward, MoveForward, Shoot, killed, killed, RotateLeft90, MoveForward, killed, killed, RotateRight90
killed, MoveForward (ignored), killed, killed, killed, RotateLeft45, RotateRight90, killed, killed, MoveForward, killed, killed, MoveForward, MoveForward, GetBattleInfo, killed, killed, RotateLeft45, MoveForward, killed, killed, GetBattleInfo
killed, MoveForward (ignored), killed, killed, killed, MoveForward (killed), GetBattleInfo, killed, killed, MoveForward (ignored), killed, killed, MoveForward (killed), RotateRight90, RotateLeft90, killed, killed, MoveForward, GetBattleInfo, killed, killed, RotateLeft45
killed, MoveForward (ignored), killed, killed, killed, killed, RotateRight90, killed, killed, MoveForward (ignored), killed, killed, killed, GetBattleInfo, MoveForward, killed, killed, GetBattleInfo, RotateRight90, killed, killed, MoveForward
killed, MoveForward (ignored), killed, killed, killed, killed, RotateLeft90, killed, killed, RotateLeft45, killed, killed, killed, RotateRight90, GetBattleInfo, killed, killed, RotateRight90, MoveForward, killed, killed, GetBattleInfo
killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, killed, Shoot, killed, killed, killed, GetBattleInfo, RotateRight90, killed, killed, RotateRight90, MoveForward, killed, killed, RotateRight90
killed, MoveForward (ignored), killed, killed, killed, killed, RotateLeft90, killed, killed, GetBattleInfo, killed, killed, killed, MoveForward, Shoot, killed, killed, GetBattleInfo, GetBattleInfo, killed, killed, RotateRight45
killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward, killed, killed, RotateRight90, killed, killed, killed, RotateLeft45, GetBattleInfo, killed, killed, MoveForward, RotateRight45, killed, killed, MoveForward
killed, MoveForward (ignored), killed, killed, killed, killed, MoveForward, killed, killed, MoveForward, killed, killed, killed, Shoot, RotateLeft90, killed, killed, MoveForward, MoveForward, killed, killed, GetBattleInfo
killed, MoveForward (ignored), killed, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward, killed, killed, killed, RotateRight90, RotateRight90, killed, killed, MoveForward, MoveForward, killed, killed, RotateRight45
