GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
GetBattleInfo, Shoot, RotateRight45, GetBattleInfo, RotateRight90, RotateLeft90
RotateRight90, RotateRight90, GetBattleInfo, Shoot, GetBattleInfo, MoveForward
killed, GetBattleInfo, MoveForward, RotateRight45, MoveForward, RotateLeft45
killed, RotateRight90, MoveForward, GetBattleInfo, RotateRight45, GetBattleInfo
killed, MoveForward, MoveForward (killed), RotateLeft90, GetBattleInfo (killed), MoveForward
killed, GetBattleInfo, killed, MoveForward, killed, MoveForward
killed, Shoot, killed, GetBattleInfo, killed, RotateLeft90
killed, GetBattleInfo, killed, RotateRight45, killed, GetBattleInfo
killed, RotateLeft45, killed, GetBattleInfo, killed, Shoot
killed, GetBattleInfo, killed, Shoot, killed, DoNothing (killed)
Player 2 won with 2 tanks still alive
