Shoot, GetBattleInfo, GetBattleInfo, Shoot, GetBattleInfo, Shoot, Shoot, GetBattleInfo, GetBattleInfo, Shoot, Shoot, GetBattleInfo, GetBattleInfo, Shoot, Shoot, GetBattleInfo, GetBattleInfo, Shoot, Shoot, GetBattleInfo, GetBattleInfo, Shoot
Shoot (ignored), Shoot, GetBattleInfo, Shoot (ignored), Shoot, Shoot (ignored), Shoot (ignored), Shoot, Shoot, Shoot (ignored), Shoot (ignored), Shoot (killed), Shoot, Shoot (ignored), Shoot (ignored), Shoot, Shoot, Shoot (ignored), Shoot (ignored), Shoot, Shoot, Shoot (ignored)
Shoot (ignored), RotateLeft90, RotateRight90, Shoot (ignored), GetBattleInfo, Shoot (ignored), Shoot (ignored), RotateLeft90, RotateRight90, Shoot (ignored), Shoot (ignored) (killed), killed, RotateLeft90, Shoot (ignored), Shoot (ignored), RotateLeft90, RotateRight90, Shoot (ignored), Shoot (ignored), RotateLeft45, RotateLeft90, Shoot (ignored)
Shoot (ignored), MoveForward, RotateRight45, Shoot (ignored), MoveForward, Shoot (ignored), Shoot (ignored), GetBattleInfo, RotateRight45, Shoot (ignored), killed, killed, MoveForward, Shoot (ignored), Shoot (ignored), MoveForward, RotateRight45, Shoot (ignored), Shoot (ignored), MoveForward, RotateLeft45, Shoot (ignored)
Shoot (ignored), RotateRight45, Shoot, Shoot (ignored), MoveForward, Shoot (ignored), Shoot (ignored), MoveForward, GetBattleInfo, Shoot (ignored), killed, killed, RotateLeft90, Shoot (ignored), Shoot (ignored), RotateLeft90, MoveForward, Shoot (ignored), Shoot (ignored), RotateLeft45, MoveForward, Shoot (ignored)
Shoot, MoveForward, MoveForward, Shoot, RotateLeft90, Shoot, Shoot, RotateRight45, RotateLeft90, Shoot, killed, killed, RotateRight90, Shoot, Shoot, MoveForward, RotateLeft90, Shoot, Shoot, MoveForward (killed), RotateLeft90, Shoot
Shoot (ignored) (killed), RotateRight90, MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), Shoot (ignored), MoveForward, MoveForward, Shoot (ignored), killed, killed, GetBattleInfo, Shoot (ignored), Shoot (ignored), RotateRight45, RotateRight90, Shoot (ignored), Shoot (ignored), killed, RotateRight90, Shoot (ignored)
killed, Shoot, MoveForward, Shoot (ignored), RotateRight90, Shoot (ignored), Shoot (ignored), RotateRight45, MoveForward, killed, killed, killed, RotateLeft90, Shoot (ignored), Shoot (ignored), GetBattleInfo, Shoot, Shoot (ignored), Shoot (ignored) (killed), killed, Shoot, Shoot (ignored) (killed)
killed, RotateLeft90, MoveForward, Shoot (ignored), Shoot, Shoot (ignored), Shoot (ignored), Shoot, RotateLeft90, killed, killed, killed, RotateLeft45, Shoot (ignored) (killed), Shoot (ignored), Shoot, GetBattleInfo, Shoot (ignored), killed, killed, GetBattleInfo, killed
killed, RotateRight90, Shoot, killed, RotateLeft45, Shoot (ignored), Shoot (ignored), RotateLeft45, MoveForward, killed, killed, killed, GetBattleInfo, killed, Shoot (ignored), RotateLeft90, RotateRight90, Shoot (ignored), killed, killed, RotateRight90, killed
killed, GetBattleInfo, GetBattleInfo, killed, MoveForward, Shoot, Shoot, MoveForward, RotateRight45, killed, killed, killed, RotateRight90, killed, Shoot, GetBattleInfo, RotateRight45, Shoot, killed, killed, MoveForward, killed
killed, RotateRight90, RotateLeft90, killed, GetBattleInfo, Shoot (ignored), Shoot (ignored), RotateLeft45, Shoot, killed, killed, killed, RotateRight90, killed, Shoot (ignored), RotateRight90, GetBattleInfo, Shoot (ignored), killed, killed, MoveForward, killed
killed, Shoot, MoveForward (killed), killed, MoveForward, Shoot (ignored), Shoot (ignored), GetBattleInfo, MoveForward, killed, killed, killed, MoveForward, killed, Shoot (ignored), RotateRight90, MoveForward, Shoot (ignored), killed, killed, GetBattleInfo, killed
killed, GetBattleInfo, killed, killed, RotateRight90, Shoot (ignored), Shoot (ignored), MoveForward, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, Shoot (ignored), Shoot, MoveForward, Shoot (ignored), killed, killed, Shoot, killed
killed, RotateLeft90, killed, killed, RotateRight90, Shoot (ignored), Shoot (ignored), MoveForward, MoveForward, killed, killed, killed, Shoot, killed, Shoot (ignored) (killed), MoveForward, RotateLeft45, Shoot (ignored), killed, killed, MoveForward, killed
killed, MoveForward, killed, killed, GetBattleInfo, Shoot, Shoot, MoveForward, RotateRight90, killed, killed, killed, RotateRight90, killed, killed, GetBattleInfo, Shoot, Shoot, killed, killed, MoveForward, killed
killed, GetBattleInfo, killed, killed, RotateRight90, Shoot (ignored), Shoot (ignored), GetBattleInfo, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, MoveForward, GetBattleInfo, Shoot (ignored), killed, killed, RotateLeft90, killed
killed, RotateLeft45, killed, killed, RotateRight45, Shoot (ignored), Shoot (ignored), MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, RotateRight90, RotateLeft90, Shoot (ignored), killed, killed, GetBattleInfo, killed
