GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo
RotateLeft90, MoveForward, MoveForward, GetBattleInfo, MoveForward, Shoot, Shoot, MoveForward, MoveForward, Shoot, Shoot, MoveForward (killed), MoveForward, Shoot, Shoot, MoveForward, MoveForward, Shoot, Shoot, MoveForward, MoveForward, Shoot
Shoot, MoveForward, MoveForward, RotateLeft45, MoveForward, GetBattleInfo, RotateLeft45, MoveForward, MoveForward, RotateRight90, RotateLeft90, killed, MoveForward, RotateLeft90, RotateLeft45, MoveForward, MoveForward, RotateLeft45, RotateLeft90, MoveForward, MoveForward, MoveForward
RotateLeft45, MoveForward, MoveForward, MoveForward, MoveForward, RotateRight90, GetBattleInfo, MoveForward (killed), MoveForward, MoveForward, RotateLeft45, killed, MoveForward, RotateLeft45, MoveForward, MoveForward, MoveForward, MoveForward, RotateLeft45, MoveForward, MoveForward, RotateRight45
MoveForward, MoveForward, MoveForward, RotateRight45, MoveForward, RotateRight45, MoveForward, killed, MoveForward, GetBattleInfo, MoveForward, killed, MoveForward, MoveForward, MoveForward, MoveForward (killed), MoveForward, RotateLeft90, MoveForward, MoveForward, MoveForward, MoveForward
RotateRight45 (killed), MoveForward, MoveForward (killed), Shoot, MoveForward, MoveForward, RotateLeft45, killed, MoveForward (killed), MoveForward, GetBattleInfo, killed, MoveForward, RotateLeft90, MoveForward, killed, MoveForward (killed), RotateRight90, RotateLeft90, killed, MoveForward, RotateLeft90
killed, MoveForward, killed, MoveForward, killed, Shoot, Shoot, killed, killed, RotateRight45, RotateLeft90, killed, MoveForward, GetBattleInfo, RotateRight90, killed, killed, Shoot, RotateRight90, killed, killed, RotateRight90
killed, MoveForward, killed, RotateLeft45, killed, MoveForward, RotateLeft90, killed, killed, Shoot, MoveForward, killed, MoveForward (killed), RotateRight90, GetBattleInfo, killed, killed, GetBattleInfo, Shoot, killed, killed, Shoot
killed, MoveForward, killed, RotateRight45, killed, RotateLeft90, RotateRight90, killed, killed, MoveForward, RotateRight45, killed, killed, MoveForward, RotateLeft90, killed, killed, RotateRight90, GetBattleInfo, killed, killed, GetBattleInfo
killed, MoveForward (ignored), killed, GetBattleInfo, killed, RotateRight90, GetBattleInfo, killed, killed, MoveForward, MoveForward, killed, killed, MoveForward, MoveForward, killed, killed, RotateRight90, RotateRight90, killed, killed, RotateRight90
killed, MoveForward (ignored), killed, MoveForward, killed, GetBattleInfo, RotateRight90, killed, killed, MoveForward, GetBattleInfo, killed, killed, MoveForward, RotateRight45, killed, killed, MoveForward, MoveForward, killed, killed, MoveForward
killed, MoveForward (ignored), killed, RotateRight45, killed, MoveForward, RotateRight90, killed, killed, MoveForward, RotateLeft90, killed, killed, GetBattleInfo, MoveForward, killed, killed, MoveForward, RotateRight45 (killed), killed, killed, MoveForward
killed, MoveForward (ignored), killed, Shoot, killed, MoveForward, MoveForward, killed, killed, Shoot, MoveForward (killed), killed, killed, MoveForward, GetBattleInfo, killed, killed, RotateLeft90, killed, killed, killed, MoveForward
killed, MoveForward (ignored) (killed), killed, MoveForward, killed, MoveForward, RotateLeft45, killed, killed, RotateLeft90, killed, killed, killed, RotateLeft90, RotateLeft45, killed, killed, GetBattleInfo, killed, killed, killed, RotateRight45
Player 1 won with 8 tanks still alive
