MoveForward (ignored), GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward
MoveForward (ignored), RotateRight90, MoveForward, GetBattleInfo, RotateLeft45, RotateRight90, MoveForward, MoveForward, MoveForward (killed), RotateRight90, Shoot, MoveForward, Shoot, MoveForward (ignored), Shoot, MoveForward, RotateLeft90, MoveForward (killed), MoveForward, MoveForward, Shoot, RotateRight90, RotateLeft45, MoveForward, MoveForward
MoveForward (ignored), RotateRight45, MoveForward, RotateLeft45, GetBattleInfo, RotateRight45, MoveForward, MoveForward, killed, RotateRight45, RotateLeft90, MoveForward, RotateLeft90, MoveForward (ignored), RotateRight90, MoveForward, Shoot, killed, MoveForward, MoveForward, MoveForward, RotateRight45, MoveForward, MoveForward, MoveForward
MoveForward (ignored) (killed), MoveForward, MoveForward, Shoot, MoveForward, GetBattleInfo, MoveForward (ignored), MoveForward, killed, MoveForward, RotateLeft45, MoveForward, RotateLeft45, MoveForward (ignored), RotateRight45, MoveForward, RotateLeft90, killed, RotateLeft45, MoveForward (ignored), RotateLeft45, MoveForward, RotateLeft45, MoveForward, MoveForward
killed, MoveForward, MoveForward, RotateLeft90, MoveForward, RotateRight90, MoveForward (ignored), MoveForward, killed, GetBattleInfo, MoveForward, MoveForward, MoveForward, MoveForward (ignored), MoveForward (killed), MoveForward, RotateRight90, killed, Shoot, MoveForward (ignored), MoveForward (killed), RotateRight45, MoveForward, MoveForward, MoveForward
killed, MoveForward, MoveForward, RotateRight90, MoveForward (killed), RotateRight45, MoveForward (ignored), MoveForward, killed, RotateRight90, GetBattleInfo, MoveForward, RotateRight45, MoveForward (ignored), killed, MoveForward, GetBattleInfo, killed, MoveForward, MoveForward (ignored), killed, Shoot (killed), RotateLeft45, MoveForward, MoveForward
killed, RotateLeft45, MoveForward, GetBattleInfo, killed, MoveForward, MoveForward (ignored), MoveForward, killed, RotateRight90, MoveForward, MoveForward, GetBattleInfo, MoveForward (ignored), killed, killed, RotateLeft45, killed, RotateLeft90, MoveForward (ignored), killed, killed, Shoot, MoveForward, MoveForward
killed, MoveForward, MoveForward (ignored), RotateRight90, killed, RotateRight45, MoveForward (ignored), MoveForward, killed, MoveForward, RotateLeft45, MoveForward (killed), MoveForward, MoveForward (ignored) (killed), killed, killed, Shoot, killed, RotateRight90, MoveForward (ignored), killed, killed, RotateLeft45, MoveForward (ignored), MoveForward (ignored)
killed, MoveForward, MoveForward (ignored), RotateRight90, killed, MoveForward, MoveForward (ignored), MoveForward, killed, RotateRight45, Shoot, killed, MoveForward, killed, killed, killed, RotateLeft90, killed, GetBattleInfo, MoveForward (ignored), killed, killed, RotateRight45, MoveForward (ignored), MoveForward (ignored)
killed, RotateRight45, MoveForward (ignored), GetBattleInfo, killed, RotateLeft45, MoveForward (ignored), MoveForward, killed, MoveForward, MoveForward, killed, RotateRight45, killed, killed, killed, RotateRight90, killed, MoveForward, MoveForward (ignored), killed, killed, GetBattleInfo, MoveForward (ignored), MoveForward (ignored)
killed, MoveForward, MoveForward (ignored), MoveForward, killed, MoveForward, MoveForward (ignored) (killed), MoveForward (killed), killed, MoveForward, MoveForward, killed, GetBattleInfo, killed, killed, killed, GetBattleInfo, killed, RotateRight45, MoveForward (ignored), killed, killed, RotateRight90, killed, MoveForward (ignored)
