GetBattleInfo, Shoot, GetBattleInfo, Shoot, Shoot, Shoot, GetBattleInfo, GetBattleInfo, GetBattleInfo, Shoot, Shoot, GetBattleInfo, Shoot, GetBattleInfo, Shoot, GetBattleInfo, Shoot, GetBattleInfo, Shoot, GetBattleInfo, Shoot, Shoot, Shoot, GetBattleInfo, GetBattleInfo
Shoot, Shoot (ignored), RotateLeft90, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight90, Shoot, RotateRight45 (killed), Shoot (ignored), Shoot (ignored), RotateRight45, Shoot (ignored), Shoot, Shoot (ignored) (killed), RotateRight45, Shoot (ignored), RotateRight45 (killed), Shoot (ignored), RotateRight45, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight45, RotateLeft45
RotateRight45, Shoot (ignored), RotateLeft45, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight45, MoveForward, killed, Shoot (ignored), Shoot (ignored), MoveForward, Shoot (ignored), RotateLeft45, killed, MoveForward, Shoot (ignored), killed, Shoot (ignored), MoveForward, Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward, MoveForward
MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), RotateLeft45, killed, Shoot (ignored), Shoot (ignored), RotateLeft45, Shoot (ignored), MoveForward, killed, MoveForward, Shoot (ignored), killed, Shoot (ignored), MoveForward, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight90, RotateRight45
MoveForward, Shoot (ignored), MoveForward, Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward (ignored), killed, Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot (ignored), MoveForward (ignored), killed, RotateRight45, Shoot (ignored), killed, Shoot (ignored), MoveForward, Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), RotateRight45
GetBattleInfo, Shoot, RotateRight45, Shoot, Shoot, Shoot, killed, RotateRight45, killed, Shoot, Shoot, MoveForward (ignored), Shoot, RotateRight45, killed, RotateRight45, Shoot, killed, Shoot, RotateRight45, Shoot, Shoot, Shoot, RotateLeft45, MoveForward
RotateRight45, Shoot (ignored), GetBattleInfo, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, RotateRight90, killed, Shoot (ignored), Shoot (ignored), RotateLeft90, Shoot (ignored), RotateRight45, killed, MoveForward (ignored), Shoot (ignored), killed, Shoot (ignored), RotateRight45, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateLeft45, RotateLeft45
MoveForward, Shoot (ignored), RotateLeft45, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, RotateRight45, killed, Shoot (ignored), Shoot (ignored), RotateLeft45, Shoot (ignored), MoveForward (ignored), killed, MoveForward (ignored), Shoot (ignored), killed, Shoot (ignored), MoveForward, Shoot (ignored), Shoot (ignored), Shoot (ignored), MoveForward (ignored), Shoot
RotateLeft45, Shoot (ignored), MoveForward, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, GetBattleInfo, killed, Shoot (ignored), killed, MoveForward, Shoot (ignored), RotateLeft90, killed, MoveForward (ignored), Shoot (ignored), killed, Shoot (ignored), RotateRight45, Shoot (ignored), Shoot (ignored), Shoot (ignored), RotateRight90, RotateLeft90
Shoot, Shoot (ignored), RotateLeft90, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, MoveForward, killed, Shoot (ignored), killed, RotateLeft90, Shoot (ignored), MoveForward (ignored), killed, MoveForward (ignored), Shoot (ignored), killed, Shoot (ignored), RotateRight90, Shoot (ignored) (killed), Shoot (ignored), Shoot (ignored), MoveForward (ignored), MoveForward
GetBattleInfo, Shoot, MoveForward, Shoot, Shoot, Shoot, killed, RotateLeft90, killed, Shoot, killed, GetBattleInfo, Shoot, RotateRight45, killed, RotateRight90, Shoot, killed, Shoot, RotateRight45, killed, Shoot, Shoot, RotateRight45, MoveForward
RotateRight45, Shoot (ignored), RotateRight90, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, RotateLeft45, killed, Shoot (ignored), killed, RotateRight45 (killed), Shoot (ignored), GetBattleInfo, killed, RotateRight45, Shoot (ignored), killed, Shoot (ignored), MoveForward, killed, Shoot (ignored), Shoot (ignored), RotateRight90, RotateRight90
MoveForward, Shoot (ignored), GetBattleInfo, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, MoveForward, killed, Shoot (ignored), killed, killed, Shoot (ignored), RotateLeft45, killed, Shoot, Shoot (ignored), killed, Shoot (ignored), RotateRight45, killed, Shoot (ignored), Shoot (ignored), RotateRight45, RotateRight45
MoveForward (ignored), Shoot (ignored), Shoot, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, RotateRight45, killed, Shoot (ignored), killed, killed, Shoot (ignored), RotateLeft45, killed, GetBattleInfo, Shoot (ignored), killed, Shoot (ignored), RotateRight90, killed, Shoot (ignored), Shoot (ignored), MoveForward, MoveForward
MoveForward (ignored), Shoot (ignored), RotateLeft45, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, RotateRight45, killed, Shoot (ignored) (killed), killed, killed, Shoot (ignored), Shoot, killed, RotateRight90, Shoot (ignored), killed, Shoot (ignored), GetBattleInfo, killed, Shoot (ignored), Shoot (ignored), RotateLeft90, RotateLeft90
GetBattleInfo, Shoot, MoveForward (ignored), Shoot, Shoot, Shoot, killed, MoveForward, killed, killed, killed, killed, Shoot, RotateRight45 (killed), killed, RotateRight45, Shoot, killed, Shoot, RotateRight90, killed, Shoot, Shoot, GetBattleInfo, MoveForward (ignored)
RotateLeft45, Shoot (ignored), MoveForward (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, GetBattleInfo, killed, killed, killed, killed, Shoot (ignored), killed, killed, MoveForward, Shoot (ignored), killed, Shoot (ignored), RotateRight45, killed, Shoot (ignored), Shoot (ignored), RotateRight45, GetBattleInfo
MoveForward (ignored), Shoot (ignored) (killed), RotateRight45, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, RotateLeft90 (killed), killed, killed, killed, killed, Shoot (ignored), killed, killed, MoveForward (killed), Shoot (ignored), killed, Shoot (ignored), MoveForward (killed), killed, Shoot (ignored), Shoot (ignored), MoveForward (killed), RotateLeft90 (killed)
RotateRight45, killed, GetBattleInfo, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed
RotateRight45, killed, Shoot, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed
GetBattleInfo (killed), killed, RotateLeft45, Shoot, Shoot, Shoot, killed, killed, killed, killed, killed, killed, Shoot, killed, killed, killed, Shoot, killed, Shoot, killed, killed, Shoot, Shoot, killed, killed
killed, killed, MoveForward (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed
killed, killed, MoveForward (ignored), Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed
killed, killed, RotateRight45, Shoot (ignored), Shoot (ignored), Shoot (ignored), killed, killed, killed, killed, killed, killed, Shoot (ignored), killed, killed, killed, Shoot (ignored), killed, Shoot (ignored), killed, killed, Shoot (ignored), Shoot (ignored), killed, killed
Player 2 won with 8 tanks still alive
