GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
GetBattleInfo, Shoot, RotateRight45, GetBattleInfo, RotateRight90, RotateLeft90
RotateRight90, RotateLeft45, GetBattleInfo, Shoot, GetBattleInfo, MoveForward
killed, GetBattleInfo, MoveForward, RotateRight45, RotateRight90, RotateLeft45
killed, RotateLeft90, MoveForward, GetBattleInfo, Shoot, GetBattleInfo
killed, RotateLeft45, MoveForward, MoveForward, GetBattleInfo, MoveForward
killed, GetBattleInfo, GetBattleInfo, RotateRight45, RotateLeft45, MoveForward
killed, MoveForward, RotateLeft90, GetBattleInfo, MoveForward, RotateLeft90
killed, Shoot, Shoot, MoveForward, GetBattleInfo, GetBattleInfo
killed, GetBattleInfo, DoNothing, MoveForward, MoveForward, MoveForward
killed, RotateLeft45, GetBattleInfo, GetBattleInfo, MoveForward, RotateLeft90 (killed)
killed, MoveForward, MoveForward, RotateLeft90, GetBattleInfo, killed
killed, GetBattleInfo, RotateRight90, Shoot, RotateRight90, killed
killed, RotateRight90, MoveForward, GetBattleInfo, RotateRight90, killed
killed, RotateRight90, GetBattleInfo, RotateRight90, GetBattleInfo, killed
killed, GetBattleInfo, Shoot, RotateRight90, RotateLeft45, killed
killed, MoveForward, DoNothing, GetBattleInfo, MoveForward, killed
killed, MoveForward, DoNothing (killed), Shoot, GetBattleInfo, killed
Player 2 won with 3 tanks still alive
