GetBattleInfo, MoveForward, GetBattleInfo, MoveForward (ignored), MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo
RotateLeft45, MoveForward, GetBattleInfo, MoveForward (ignored), MoveForward, MoveForward, RotateLeft45, RotateLeft45, Shoot, MoveForward, MoveForward (killed), Shoot, MoveForward, RotateLeft90, MoveForward, Shoot, MoveForward, Shoot, MoveForward, RotateLeft45, MoveForward (killed), MoveForward, MoveForward, RotateRight90, RotateRight90
Shoot, RotateRight90, RotateRight90, RotateRight90 (killed), RotateRight90, RotateRight90, GetBattleInfo, MoveForward, RotateRight45, RotateRight90, killed, RotateLeft45, RotateRight90, Shoot, RotateRight90, RotateLeft45, RotateRight90, RotateRight45, RotateRight90, MoveForward, killed, RotateRight90, RotateRight90, MoveForward, RotateRight90
RotateLeft90, MoveForward (ignored), RotateRight45, killed, MoveForward (ignored), MoveForward (ignored), RotateLeft90, GetBattleInfo, MoveForward, MoveForward (ignored), killed, MoveForward, MoveForward (ignored), RotateLeft90, MoveForward (ignored), MoveForward, MoveForward (killed), MoveForward (killed), MoveForward (ignored), MoveForward, killed, MoveForward, MoveForward, RotateLeft45, Shoot
RotateRight90, MoveForward (ignored), MoveForward, killed, MoveForward (ignored), MoveForward (ignored), RotateLeft45, RotateRight90, GetBattleInfo, MoveForward (ignored), killed, RotateLeft90, MoveForward (ignored), RotateRight90, MoveForward (ignored), MoveForward (killed), killed, killed, MoveForward (ignored) (killed), RotateRight45, killed, MoveForward (ignored), MoveForward, MoveForward, RotateLeft45
GetBattleInfo, RotateRight90, MoveForward, killed, RotateRight90, RotateRight90, MoveForward, RotateRight90, RotateRight90, RotateRight90, killed, GetBattleInfo, RotateRight90, GetBattleInfo, RotateRight90, killed, killed, killed, killed, Shoot, killed, RotateRight90, RotateRight90, MoveForward, MoveForward
RotateLeft90, MoveForward, RotateLeft45, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, killed, RotateRight90, MoveForward, RotateLeft90, MoveForward, killed, killed, killed, killed, RotateLeft45, killed, MoveForward, MoveForward, RotateLeft45, RotateLeft45
RotateLeft45, MoveForward, MoveForward, killed, MoveForward, MoveForward (killed), RotateRight45, RotateRight45, RotateRight45 (killed), MoveForward, killed, RotateRight90, MoveForward, RotateLeft45, MoveForward, killed, killed, killed, killed, MoveForward, killed, MoveForward, MoveForward (ignored), Shoot, MoveForward
MoveForward, RotateRight90, RotateRight45, killed, RotateRight90, killed, MoveForward, Shoot, killed, RotateRight90, killed, MoveForward, RotateRight90, MoveForward, RotateRight90, killed, killed, killed, killed, RotateRight90, killed, RotateRight90, RotateRight90, RotateRight90, Shoot
RotateRight45 (killed), MoveForward, Shoot, killed, MoveForward (ignored), killed, MoveForward, RotateLeft45, killed, MoveForward (ignored), killed, RotateLeft45, MoveForward (ignored), RotateRight90, killed, killed, killed, killed, killed, GetBattleInfo, killed, MoveForward, MoveForward (killed), RotateLeft90, RotateLeft90
killed, MoveForward, RotateLeft90, killed, MoveForward (ignored), killed, RotateRight90, MoveForward, killed, MoveForward (ignored), killed, Shoot, MoveForward (ignored), MoveForward, killed, killed, killed, killed, killed, RotateRight90, killed, MoveForward (ignored), killed, GetBattleInfo, RotateRight90
killed, RotateRight90, RotateRight90, killed, RotateRight90, killed, Shoot, MoveForward, killed, RotateRight90, killed, GetBattleInfo, RotateRight90, MoveForward, killed, killed, killed, killed, killed, MoveForward, killed, RotateRight90, killed, GetBattleInfo, GetBattleInfo
