MoveForward (ignored), GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward
MoveForward (ignored), RotateRight90, MoveForward, GetBattleInfo, RotateLeft45, RotateRight90, MoveForward, MoveForward, MoveForward (killed), RotateRight90, Shoot, MoveForward, Shoot, MoveForward (ignored), Shoot, MoveForward, RotateLeft90, MoveForward (killed), MoveForward, MoveForward, Shoot, RotateRight90, RotateRight90, MoveForward, MoveForward
MoveForward (ignored) (killed), RotateRight45, MoveForward, RotateLeft45, GetBattleInfo, RotateRight45, MoveForward, MoveForward, killed, RotateRight45, MoveForward, MoveForward, RotateLeft90, MoveForward (ignored), RotateRight90, MoveForward, RotateLeft45, killed, MoveForward, MoveForward, MoveForward, RotateRight45, Shoot, MoveForward, MoveForward
killed, MoveForward, MoveForward, Shoot, MoveForward, GetBattleInfo, MoveForward (ignored), MoveForward, killed, MoveForward, RotateLeft45, MoveForward, RotateLeft45, MoveForward (ignored) (killed), RotateRight45, MoveForward, Shoot, killed, RotateLeft45, MoveForward (ignored), RotateLeft45, MoveForward, RotateRight90, MoveForward, MoveForward
killed, MoveForward, MoveForward, RotateLeft90, MoveForward, MoveForward, MoveForward (ignored), MoveForward, killed, GetBattleInfo, RotateRight45, MoveForward, MoveForward, killed, MoveForward, MoveForward, RotateLeft90, killed, MoveForward, MoveForward (ignored), RotateRight45, RotateRight45, MoveForward, MoveForward, MoveForward
killed, MoveForward, MoveForward, RotateRight90, MoveForward (killed), RotateRight90, MoveForward (ignored), MoveForward, killed, RotateRight90, GetBattleInfo, MoveForward, RotateRight45, killed, RotateLeft90, MoveForward, RotateRight90, killed, RotateLeft45, MoveForward (ignored), GetBattleInfo, Shoot (killed), RotateLeft45, MoveForward, MoveForward
killed, RotateLeft45, MoveForward, GetBattleInfo, killed, MoveForward, MoveForward (ignored), MoveForward, killed, RotateRight90, MoveForward, MoveForward, GetBattleInfo, killed, Shoot, killed, GetBattleInfo, killed, Shoot, MoveForward (ignored), RotateRight90, killed, MoveForward, MoveForward, MoveForward
killed, MoveForward, MoveForward (ignored), RotateRight90, killed, RotateLeft45, MoveForward (ignored), MoveForward, killed, MoveForward, MoveForward, MoveForward (killed), MoveForward, killed, GetBattleInfo, killed, RotateRight90, killed, RotateLeft45, MoveForward (ignored), RotateRight45, killed, RotateRight90, MoveForward (ignored), MoveForward (ignored)
killed, MoveForward, MoveForward (ignored), RotateRight90, killed, Shoot, MoveForward (ignored), MoveForward, killed, RotateRight45, MoveForward, killed, MoveForward, killed, RotateLeft90, killed, MoveForward, killed, RotateRight45, MoveForward (ignored), MoveForward, killed, Shoot, MoveForward (ignored), MoveForward (ignored)
killed, RotateRight45, MoveForward (ignored), MoveForward, killed, MoveForward, MoveForward (ignored), MoveForward, killed, MoveForward, MoveForward, killed, RotateRight45, killed, MoveForward, killed, RotateRight45, killed, GetBattleInfo, MoveForward (ignored), MoveForward, killed, RotateRight90, MoveForward (ignored), MoveForward (ignored)
killed, MoveForward, MoveForward (ignored), MoveForward, killed, RotateLeft45, MoveForward (ignored) (killed), MoveForward (killed), killed, MoveForward, RotateRight45, killed, MoveForward, killed, MoveForward, killed, MoveForward, killed, RotateRight45, MoveForward (ignored), MoveForward, killed, MoveForward, killed, MoveForward (ignored)
