Shoot, GetBattleInfo, GetBattleInfo, Shoot, GetBattleInfo, Shoot, Shoot, GetBattleInfo, GetBattleInfo, Shoot, Shoot, GetBattleInfo, GetBattleInfo, Shoot, Shoot, GetBattleInfo, GetBattleInfo, Shoot, Shoot, GetBattleInfo, GetBattleInfo, Shoot
Shoot (ignored), RotateRight90, GetBattleInfo, Shoot (ignored), Shoot, Shoot (ignored), Shoot (ignored), Shoot, Shoot, Shoot (ignored), Shoot (ignored), Shoot (killed), Shoot, Shoot (ignored), Shoot (ignored), Shoot, Shoot, Shoot (ignored), Shoot (ignored), Shoot, Shoot, Shoot (ignored)
Shoot (ignored), Shoot, RotateLeft45, Shoot (ignored), GetBattleInfo, Shoot (ignored), Shoot (ignored), RotateRight45, RotateRight90, Shoot (ignored), Shoot (ignored) (killed), killed, RotateLeft90, Shoot (ignored), Shoot (ignored), RotateLeft90, RotateRight90, Shoot (ignored), Shoot (ignored), RotateLeft45, RotateLeft90, Shoot (ignored)
Shoot (ignored), RotateLeft45, MoveForward, Shoot (ignored), RotateLeft90, Shoot (ignored) (killed), Shoot (ignored), GetBattleInfo, RotateRight45, Shoot (ignored), killed, killed, MoveForward, Shoot (ignored), Shoot (ignored), RotateLeft45, RotateRight45, Shoot (ignored), Shoot (ignored), MoveForward, RotateLeft45, Shoot (ignored)
Shoot (ignored), MoveForward, MoveForward, Shoot (ignored), MoveForward, killed, Shoot (ignored), RotateLeft90, GetBattleInfo, Shoot (ignored), killed, killed, RotateLeft90, Shoot (ignored), Shoot (ignored), MoveForward, MoveForward, Shoot (ignored), Shoot (ignored), RotateLeft90, MoveForward, Shoot (ignored)
Shoot, RotateRight45, MoveForward, Shoot, MoveForward, killed, Shoot, RotateLeft45, RotateRight90, Shoot, killed, killed, RotateRight90, Shoot, Shoot, RotateLeft90, RotateLeft90, Shoot, Shoot, RotateRight90, RotateLeft90, Shoot
Shoot (ignored) (killed), MoveForward, MoveForward, Shoot (ignored), Shoot, killed, Shoot (ignored), MoveForward, RotateRight90, Shoot (ignored), killed, killed, GetBattleInfo, Shoot (ignored), Shoot (ignored), RotateRight90, RotateRight90, Shoot (ignored) (killed), Shoot (ignored), Shoot, RotateRight90, Shoot (ignored)
killed, RotateRight45, RotateRight45, Shoot (ignored), MoveForward, killed, Shoot (ignored), MoveForward, MoveForward, Shoot (ignored), killed, killed, RotateRight90, Shoot (ignored), Shoot (ignored), GetBattleInfo, Shoot, killed, Shoot (ignored) (killed), GetBattleInfo, Shoot, Shoot (ignored)
killed, Shoot, Shoot, Shoot (ignored), GetBattleInfo, killed, Shoot (ignored), RotateRight45, MoveForward, Shoot (ignored), killed, killed, RotateRight45, Shoot (ignored) (killed), Shoot (ignored), Shoot, GetBattleInfo, killed, killed, RotateRight90, GetBattleInfo, Shoot (ignored)
killed, RotateLeft90, RotateLeft90, Shoot (ignored), MoveForward, killed, Shoot (ignored), Shoot, RotateRight45, Shoot (ignored), killed, killed, Shoot, killed, Shoot (ignored), GetBattleInfo, RotateRight90, killed, killed, MoveForward, RotateRight90, Shoot (ignored)
killed, RotateRight90, RotateRight90, Shoot, RotateLeft90, killed, Shoot, MoveForward, Shoot, Shoot, killed, killed, MoveForward, killed, Shoot, MoveForward, RotateRight90, killed, killed, MoveForward (killed), MoveForward, Shoot
killed, GetBattleInfo, RotateLeft90, Shoot (ignored), Shoot, killed, Shoot (ignored), GetBattleInfo, RotateLeft45, Shoot (ignored), killed, killed, MoveForward, killed, Shoot (ignored), MoveForward, MoveForward, killed, killed, killed, MoveForward, Shoot (ignored)
killed, RotateLeft90, GetBattleInfo, Shoot (ignored), RotateLeft45, killed, Shoot (ignored), MoveForward, GetBattleInfo, Shoot (ignored), killed, killed, RotateLeft90, killed, Shoot (ignored), MoveForward, killed, killed, killed, killed, Shoot, Shoot (ignored)
killed, MoveForward, RotateLeft90, Shoot (ignored), MoveForward, killed, Shoot (ignored), MoveForward, RotateLeft90, Shoot (ignored), killed, killed, GetBattleInfo, killed, Shoot (ignored) (killed), Shoot, killed, killed, killed, killed, MoveForward, Shoot (ignored)
killed, MoveForward, RotateLeft45, Shoot (ignored), RotateRight90, killed, Shoot (ignored), MoveForward, RotateRight90, killed, killed, killed, MoveForward, killed, killed, MoveForward, killed, killed, killed, killed, MoveForward, Shoot (ignored)
killed, RotateRight90, Shoot, Shoot, RotateRight90, killed, Shoot, RotateLeft90, RotateRight45, killed, killed, killed, RotateRight45, killed, killed, RotateLeft45, killed, killed, killed, killed, RotateLeft90, Shoot (killed)
killed, Shoot, GetBattleInfo, Shoot (ignored), GetBattleInfo, killed, Shoot (ignored), MoveForward, killed, killed, killed, killed, MoveForward, killed, killed, RotateRight45, killed, killed, killed, killed, RotateRight90, killed
killed, MoveForward, RotateLeft90, Shoot (ignored), MoveForward, killed, Shoot (ignored), RotateLeft90, killed, killed, killed, killed, RotateRight45, killed, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed
killed, GetBattleInfo, RotateLeft45, Shoot (ignored), RotateRight45, killed, Shoot (ignored) (killed), MoveForward, killed, killed, killed, killed, GetBattleInfo, killed, killed, MoveForward (killed), killed, killed, killed, killed, RotateLeft45, killed
killed, killed, MoveForward, Shoot (ignored), killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed
killed, killed, RotateRight45, Shoot, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, RotateLeft90, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed
killed, killed, GetBattleInfo, Shoot (ignored), killed, killed, killed, RotateRight90, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed
killed, killed, killed, Shoot (ignored), killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, RotateLeft45, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed
killed, killed, killed, Shoot (ignored), killed, killed, killed, RotateRight90, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed
killed, killed, killed, Shoot (ignored), killed, killed, killed, GetBattleInfo (killed), killed, killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed
killed, killed, killed, Shoot, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed
killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo (killed), killed, killed, killed, killed, killed, killed, killed, MoveForward, killed
killed, killed, killed, Shoot (ignored), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, GetBattleInfo, killed
killed, killed, killed, Shoot (ignored) (killed), killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, killed, MoveForward, killed
Player 2 won with 1 tanks still alive
