GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo, GetBattleInfo, MoveForward, MoveForward, GetBattleInfo
RotateLeft90, MoveForward, MoveForward, RotateRight90, MoveForward, RotateRight90, RotateRight90, MoveForward, MoveForward, RotateRight90, Shoot, MoveForward (killed), MoveForward, RotateLeft45, RotateRight45, MoveForward, MoveForward, RotateRight90, RotateLeft45, MoveForward, MoveForward, RotateRight45
RotateLeft45, MoveForward, MoveForward, RotateRight45, MoveForward, RotateRight45, RotateRight45, MoveForward, MoveForward, RotateRight45, RotateRight45, killed, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, RotateRight45, MoveForward, MoveForward, MoveForward, MoveForward
MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, MoveForward, RotateRight90, killed, MoveForward (killed), MoveForward, MoveForward (killed), MoveForward, MoveForward, MoveForward, RotateRight45, MoveForward, MoveForward, MoveForward
RotateLeft45, MoveForward, MoveForward, RotateRight90, MoveForward, RotateLeft90, MoveForward, MoveForward, MoveForward, MoveForward, RotateRight45, killed, killed, MoveForward (killed), killed, MoveForward, MoveForward, RotateLeft90 (killed), RotateRight45, MoveForward, MoveForward, RotateRight45
GetBattleInfo (killed), MoveForward, MoveForward (killed), MoveForward, MoveForward, MoveForward, RotateLeft45, MoveForward, MoveForward, RotateRight45, MoveForward, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, MoveForward, MoveForward, Shoot
killed, MoveForward, killed, GetBattleInfo, MoveForward, RotateLeft45, Shoot, MoveForward, MoveForward, RotateRight90, Shoot, killed, killed, killed, killed, MoveForward, MoveForward, killed, RotateLeft45, MoveForward, MoveForward, MoveForward
killed, MoveForward, killed, Shoot, MoveForward, GetBattleInfo, MoveForward, MoveForward, MoveForward, RotateRight45, RotateLeft45, killed, killed, killed, killed, MoveForward, MoveForward, killed, RotateLeft45, MoveForward, MoveForward, RotateLeft45
killed, MoveForward, killed, MoveForward, MoveForward, RotateLeft90, GetBattleInfo, MoveForward, MoveForward, MoveForward, MoveForward, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, MoveForward, MoveForward, MoveForward
killed, MoveForward (ignored), killed, RotateRight45, MoveForward (killed), RotateLeft45, MoveForward, MoveForward, MoveForward, GetBattleInfo, RotateLeft45, killed, killed, killed, killed, MoveForward, MoveForward, killed, RotateRight45, MoveForward, MoveForward, MoveForward
killed, MoveForward (ignored), killed, RotateRight90, killed, MoveForward, RotateRight45, MoveForward, MoveForward, RotateRight90, GetBattleInfo, killed, killed, killed, killed, MoveForward, MoveForward, killed, RotateRight45, MoveForward, MoveForward, RotateRight45
killed, MoveForward (ignored), killed, RotateRight45, killed, MoveForward, RotateRight90, MoveForward, MoveForward, RotateRight45, RotateLeft90, killed, killed, killed, killed, MoveForward, MoveForward, killed, MoveForward, MoveForward, MoveForward, RotateRight90
killed, MoveForward (ignored), killed, GetBattleInfo, killed, MoveForward, RotateRight45, MoveForward, MoveForward, MoveForward, RotateLeft45, killed, killed, killed, killed, MoveForward, MoveForward, killed, RotateLeft45, MoveForward, MoveForward, RotateRight45
